_id,Municipality,Ten-year housing target,Total housing progress since 2022,Target for 2024,Total 2024 housing progress,Progress % for 2024,Housing Target Status
409,Ajax,17000,1801,1417,163,11.50%,Not met
410,Aurora,8000,641,667,167,25.04%,Not met
411,Barrie,23000,4782,1917,791,41.26%,Not met
412,Belleville,3100,1140,258,213,82.56%,On track
413,Bradford West Gwillimbury,6500,991,542,239,44.10%,Not met
414,Brampton,113000,20121,9417,4907,52.11%,Not met
415,Brantford,10000,2451,833,280,33.61%,Not met
416,Burlington,29000,1466,2417,754,31.20%,Not met
417,Caledon,13000,2349,1083,553,51.06%,Not met
418,Cambridge,19000,2908,1583,626,39.55%,Not met
419,Chatham-Kent,1100,1203,92,136,147.83%,Exceeded
420,Clarington,13000,1820,1083,584,53.92%,Not met
421,East Gwillimbury,4300,993,358,107,29.89%,Not met
422,Georgina,6200,845,517,223,43.13%,Not met
423,Greater Sudbury,3800,967,317,230,72.56%,Not met
424,Guelph,18000,2577,1500,849,56.60%,Not met
425,Haldimand County,4200,673,350,92,26.29%,Not met
426,Halton Hills,9500,652,792,266,33.59%,Not met
427,Hamilton,47000,9444,3917,1632,41.66%,Not met
428,Innisfil,6300,1555,525,260,49.52%,Not met
429,Kawartha Lakes,6500,1375,542,332,61.25%,Not met
430,Kingston,8000,2348,667,452,67.77%,Not met
431,Kitchener,35000,8565,2917,2038,69.87%,Not met
432,London,47000,7325,3917,3012,76.90%,Not met
433,Markham,44000,5903,3667,1445,39.41%,Not met
434,Milton,21000,4952,1750,1673,95.60%,On track
435,Mississauga,120000,11880,10000,3277,32.77%,Not met
436,New Tecumseth,6400,538,533,231,43.34%,Not met
437,Newmarket,12000,983,1000,199,19.90%,Not met
438,Niagara Falls,8000,1564,667,481,72.11%,Not met
439,Norfolk County,5700,701,475,155,32.63%,Not met
440,North Bay,1000,652,83,230,277.11%,Exceeded
441,Oakville,33000,7306,2750,3382,122.98%,Exceeded
442,Oshawa,23000,4001,1917,887,46.27%,Not met
443,Ottawa,151000,26777,12583,6007,47.74%,Not met
444,Peterborough City,4700,1009,392,233,59.44%,Not met
445,Pickering,13000,4748,1083,1696,156.60%,Exceeded
446,Richmond Hill,27000,2948,2250,752,33.42%,Not met
447,Sarnia,1000,561,83,150,180.72%,Exceeded
448,Sault Ste. Marie,1500,662,125,180,144.00%,Exceeded
449,St. Catharines,11000,1330,917,259,28.24%,Not met
450,Thunder Bay,2200,587,183,246,134.43%,Exceeded
451,Toronto,285000,71762,23750,18422,77.57%,Not met
452,Vaughan,42000,8521,3500,2348,67.09%,Not met
453,Waterloo,16000,2420,1333,857,64.29%,Not met
454,Welland,4300,1929,358,382,106.70%,Exceeded
455,Whitby,18000,3263,1500,557,37.13%,Not met
456,Whitchurch-Stouffville,6500,1624,542,42,7.75%,Not met
457,Windsor,13000,2293,1083,1456,134.44%,Exceeded
458,Woodstock,5500,717,458,105,22.93%,Not met
459,Municipalities without targets,172700,41816,14392,8081,56.15%,Not applicable
